View Name	View Description	View Version	Status Date
Lab Result Generic	The vocabulary used for the Unsolicited Specimen-Oriented Laboratory Observation message that is available in the Historical Archives.	4	03/16/2010 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Specimen Condition	PHVS_SpecimenCondition_CDC	2.16.840.1.114222.4.11.1042	1	A mode or state of being that describes the nature of the specimen.  Refers to HL7 User-defined Table 0493 Specimen Condition.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Handling Code	PHVS_EntityHandling_CDC	2.16.840.1.114222.4.11.990	1	Special handling codes for specimens	Published	10/22/2008	Initial Load VADS 3.0
Specimen Quality (HL7)	PHVS_SpecimenQuality_HL7_2x	2.16.840.1.114222.4.11.1043	1	The degree or grade of excellence of the specimen at receipt.  The filler populates this attribute.  Refers to User-defined Table 0491   Specimen Quality.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Reject Reason (HL7)	PHVS_SpecimenRejectReason_HL7_2x	2.16.840.1.114222.4.11.1044	1	One or more reasons the specimen is rejected for the specified observation/result/analysis.  Refers to HL7 table 0490-Specimen Reject Reason.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Risk	PHVS_SpecimenRisk_CDC	2.16.840.1.114222.4.11.1045	1	Any known or suspected specimen hazards, e.g., exceptionally infectious agent  or blood from a hepatitis patient. Refers to User-defined Table 0489   Risk Codes.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Role	PHVS_SpecimenRole_CDC	2.16.840.1.114222.4.11.1046	1	The role of the sample. If this field is not populated, then the specimen described has no special, or specific, role other than serving as the focus of the observation.  Refers to User-defined Table 0369   Specimen role.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Treatment	PHVS_SpecimenTreatment_CDC	2.16.840.1.114222.4.11.1047	1	Specimen treatment performed during laboratory processing	Published	10/22/2008	Initial Load VADS 3.0
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Telecommunication Equipment Type (HL7)	PHVS_TelecommunicationEquipmentType_HL7_2x	2.16.840.1.114222.4.11.817	1	HL7 table 0202 contains a list of types of telecommunication equipment	Published	06/14/2018	Initial Load VADS 3.0
Telecommunication Use Code (HL7)	PHVS_TelecommunicationUseCode_HL7_2x	2.16.840.1.114222.4.11.818	1	HL7 table 0201 contains a list that represents a specific use of a telecommunication number	Published	06/14/2018	Initial Load VADS 3.0
Type of Data	PHVS_MIME_MediaType_IANA	2.16.840.1.114222.4.11.1012	1	Encoding as defined by MIME (Multipurpose Internet Mail Extensions)	Published	10/22/2008	Initial Load VADS 3.0
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	1	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	Initial Load VADS 3.0
Universal ID Type (HL7)	PHVS_UniversalIdType_HL7_2x	2.16.840.1.114222.4.11.1055	1	HL7 table 0301 contains the universal identifier type	Published	10/22/2008	Initial Load VADS 3.0
Value Type (HL7)	PHVS_ValueType_HL7_2x	2.16.840.1.114222.4.11.1059	1	HL7 table 0125 contains the list of formats of the observation value in OBX-3.	Published	12/16/2015	Initial Load VADS 3.0
Volume Mass Units	PHVS_UnitsOfMeasureMassVolume_UCUM	2.16.840.1.114222.4.11.1054	1	Volume Mass units of measure based on UCUM std	Published	10/22/2008	Initial Load VADS 3.0
Volume Units	PHVS_UnitsOfMeasureVolume_UCUM	2.16.840.1.114222.4.11.1053	1	Volume related units of Measure based on UCUM std	Published	10/22/2008	Initial Load VADS 3.0
Yes No Indicator (HL7)	PHVS_YesNo_HL7_2x	2.16.840.1.114222.4.11.819	1	Value set used to respond to any question that can be answered only Yes or No. This value set is also HL7 table 0136 Yes/No Indicator.	Published	10/01/2019	Initial Load VADS 3.0
