View Name	View Description	View Version	Status Date
Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1	Electronic Laboratory Reporting (ELR) to Public Health - HL7 Version 2.5.1. This implementation guide has been referenced in the Stage 1 Meaningful Use (MU) measure for Population Health.	8	10/11/2012 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Name Address Representation (HL7)	PHVS_NameAddressRepresentation_HL7_2x	2.16.840.1.114222.4.11.3352	1	HL7 version 2.x Name/address representation used in chapter(s) 2; HL7 table 0465	Published	08/14/2010	HL7 v2.5
Name Assembly Order (HL7)	PHVS_NameAssemblyOrder_HL7_2x	2.16.840.1.114222.4.11.3351	1	HL7 version 2.x Name assembly order used in chapter(s) 2; HL7 table 0444	Published	08/14/2010	HL7 v2.5
Name Type (HL7)	PHVS_NameType_HL7_2x	2.16.840.1.114222.4.11.810	2	HL7 table 0200 contains types of person names, including Maiden and Alias.	Published	08/31/2011	updated artist name
Nature of Abnormal Test (HL7)	PHVS_NatureOfAbnormalTesting_HL7_2x	2.16.840.1.114222.4.11.1017	1	HL7 Table 0080 contains the nature of the abnormal testing (ex. age-related and/or sex-related and/or race-related values)	Published	10/22/2008	Initial Load VADS 3.0
Observation Method	PHVS_LabTestMethods_CDC	2.16.840.1.114222.4.11.1003	1	Laboratory test method identifiers	Published	05/21/2025	Based on HL7 V3 - 2008 version
Observation Result Handling (HL7)	PHVS_ObservationResultHandling_HL7_2x	2.16.840.1.114222.4.11.3357	1	Observation Result Handling (HL7)	Published	08/14/2010	Observation Result Handling
Observation Result Status (HL7)	PHVS_ObservationResultStatus_HL7_2x	2.16.840.1.114222.4.11.811	1	The status of the observation. This field is required when the OBX segment is contained in a message.  Uses HL7 2.5 Table 0085-Observation Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Order Control Code (HL7)	PHVS_OrderControlCodes_HL7_2x	2.16.840.1.114222.4.11.923	1	Order Control Codes that determine the function of the order segment.  Uses HL7 Table 0119-Order Control Codes.	Published	10/22/2008	Initial Load VADS 3.0
Order Status (HL7)	PHVS_OrderStatus_HL7_2x	2.16.840.1.114222.4.11.1025	1	Reports the status of an order upon request or when the status changes.  It may be used in a message with Order Control value of SR or SC.	Published	10/22/2008	Initial Load VADS 3.0
Order Type (HL7)	PHVS_OrderType_HL7_2x	2.16.840.1.114222.4.11.3354	1	HL7 version 2.x Order Type used in chapter(s) 4; HL7 table 0482	Published	08/14/2010	HL7 v2.5
Ordered Test	PHVS_LabTestOrderables_CDC	2.16.840.1.114222.4.11.1004	4	Lab test orderables that could be used in OBR segment. This value set also includes panels from LOINC. Keywords: Lab Test Orderables, Lab Test Order	Published	03/27/2025	Update based on July 30th, 2010 release of LOINC 2.32
Organizational Name Type (HL7)	PHVS_TypeOfOrganizationalNameType_HL7_2x	2.16.840.1.114222.4.11.3346	1	HL7 version 2.x Organizational name type used in chapter(s) 2; HL7 table 0204	Published	08/14/2010	HL7 v2.5
Patient Class (HL7)	PHVS_PatientClass_HL7_2x	2.16.840.1.114222.4.11.917	1	General type of patient.  HL7 User-defined table 0004	Published	10/22/2008	Initial Load VADS 3.0
Problem Value Set	PHVS_ProblemList_HITSP	2.16.840.1.113883.3.88.12.3221.7.4	1	This describes the problem. Diagnosis/Problem List is broadly defined as a series of brief statements that catalog a patient’s medical, nursing, dental, social, preventative and psychiatric events and issues that are relevant to that patient’s healthcare (e.g., signs, symptoms, and defined conditions). Contains descendants of SNOMED CT codes 404684003 (Signs and Symptoms) and 243796009 (Situation with explicit context).	Published	04/15/2019	HITSP Public Health Vocabulary
Processing ID (HL7)	PHVS_ProcessingID_HL7_2x	2.16.840.1.114222.4.11.1028	1	HL7 table 0103 contains values that define whether the message is part of a production, training or debugging system.	Published	10/22/2008	Initial Load VADS 3.0
Processing Mode (HL7)	PHVS_ProcessingMode_HL7_2x	2.16.840.1.114222.4.11.1029	1	HL7 table 0207 contains values that define whether the message is part of an archival process or an initial load.	Published	10/22/2008	Initial Load VADS 3.0
Production Class (HL7)	PHVS_ProductionClass_HL7_2x	2.16.840.1.114222.4.11.812	1	User-defined table 0429 contains the code and description that indicates the primary use for which the living subject was bred or grown.	Published	10/22/2008	Initial Load VADS 3.0
Race (HL7)	PHVS_Race_HL7_2x	2.16.840.1.114222.4.11.6065	1	This race value set is based upon CDC check-digit codes, but using the HL7 table 0005. HL7 adopted the CDC Race and Ethncity codes in HL7 Table 0005 in 2005. This value set has been created for backward compatibility and some historic Implementation guides (E.g. Immunization). Recommend using Race Category value set based upon CDC Race & Ethnicity code system.	Published	09/06/2012	Sept 2012
Relationship (HL7)	PHVS_Relationship_HL7_2x	2.16.840.1.114222.4.11.813	1	Relationship codes as specified by HL7.
v2: Added 'Household' concept	Published	08/12/2015	Initial Load VADS 3.0
Religion (HL7)	PHVS_Religion_HL7_2x	2.16.840.1.114222.4.11.814	1	User-defined table 0006 contains a list of religions.	Published	10/22/2008	Initial Load VADS 3.0
Response Flag (HL7)	PHVS_ResponseFlag_HL7_2x	2.16.840.1.114222.4.11.1023	1	Response Flag	Published	10/22/2008	Initial Load VADS 3.0
Result status (HL7)	PHVS_ResultStatus_HL7_2x	2.16.840.1.114222.4.11.815	1	The status of the results. This field is required when the OBR segment is contained in a message.  Uses HL7 2.5 Table 0123-Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Risk Codes (HL7)	PHVS_RiskCodes_HL7_2x	2.16.840.1.114222.4.11.3356	1	HL7 version 2.x Risk Codes used in chapter(s) 7; HL7 table 0489	Published	08/14/2010	HL7 v2.5
Source of Comment (HL7)	PHVS_SourceOfComment_HL7_2x	2.16.840.1.114222.4.11.3014	1	HL7 version 2.5 Table 0105 - Source of Comment.	Published	10/22/2008	Initial Load VADS 3.0
Specimen	PHVS_Specimen_CDC	2.16.840.1.114222.4.11.946	6	Specimen based on SNOMED hierarchy (123038009) Keyword: Specimen Source, Specimen Type	Published	11/07/2024	Update based on July 31st 2010 release.
Specimen Action Code (HL7)	PHVS_SpecimenActionCode_HL7_2x	2.16.840.1.114222.4.11.3340	1	HL7 version 2.x Specimen action code used in chapter(s) 4; HL7 table 065	Published	08/09/2010	Initial Import for Specimen Action Code
Specimen Additive or Preservative (HL7)	PHVS_AdditiveOrPreservative_HL7_2x	2.16.840.1.114222.4.11.960	1	HL7 version 2.5 Table 0371 Additive/Preservative codes.  Information regarding any substances added to the specimen before or at the time of specimen collection.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Appropriateness (HL7)	PHVS_SpecimenAppropriateness_HL7_2x	2.16.840.1.114222.4.11.1039	1	The suitability of the specimen for the particular planned use as determined by the filler.  Refer to User-defined Table 0492   Specimen Appropriateness	Published	10/22/2008	Initial Load VADS 3.0
Specimen Child Role (HL7)	PHVS_SpecimenChildRole_HL7_2x	2.16.840.1.114222.4.11.1040	1	For child specimens, this field identifies the relationship between this specimen and the parent specimen.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Collection Method	PHVS_SpecimenCollectionMethod_CDC	2.16.840.1.114222.4.11.3282	2	Specimen Collection Method is an intrinsic value set from SNOMED based on SNOMED procedure domain concepts derived from the domain specimen collection (17636008) and its children	Published	08/13/2010	Update based on SNOMED CT July 31st, 2010
Specimen Collection Method (HL7)	PHVS_SpecimenCollectionMethod_HL7_2x	2.16.840.1.114222.4.11.1041	1	Describes the procedure or process by which the specimen was collected. Any nationally recognized coding system might be used for this field including SNOMED; alternatively the HL7 defined table 0488 may be used	Published	10/22/2008	Initial Load VADS 3.0
Specimen Condition	PHVS_SpecimenCondition_CDC	2.16.840.1.114222.4.11.1042	1	A mode or state of being that describes the nature of the specimen.  Refers to HL7 User-defined Table 0493 Specimen Condition.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Handling Code	PHVS_EntityHandling_CDC	2.16.840.1.114222.4.11.990	1	Special handling codes for specimens	Published	10/22/2008	Initial Load VADS 3.0
Specimen Quality (HL7)	PHVS_SpecimenQuality_HL7_2x	2.16.840.1.114222.4.11.1043	1	The degree or grade of excellence of the specimen at receipt.  The filler populates this attribute.  Refers to User-defined Table 0491   Specimen Quality.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Reject Reason (HL7)	PHVS_SpecimenRejectReason_HL7_2x	2.16.840.1.114222.4.11.1044	1	One or more reasons the specimen is rejected for the specified observation/result/analysis.  Refers to HL7 table 0490-Specimen Reject Reason.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Role	PHVS_SpecimenRole_CDC	2.16.840.1.114222.4.11.1046	1	The role of the sample. If this field is not populated, then the specimen described has no special, or specific, role other than serving as the focus of the observation.  Refers to User-defined Table 0369   Specimen role.	Published	10/22/2008	Initial Load VADS 3.0
Specimen Type (HL7)	PHVS_SpecimenType_HL7_2x	2.16.840.1.114222.4.11.6046	1	Specimen Type (HL7)	Published	07/23/2012	version 1
State	PHVS_State_FIPS_5-2	2.16.840.1.114222.4.11.830	1	State codes for U.S. based on FIPS 5-2	Published	10/22/2008	Initial Load VADS 3.0
Telecommunication Equipment Type (HL7)	PHVS_TelecommunicationEquipmentType_HL7_2x	2.16.840.1.114222.4.11.817	1	HL7 table 0202 contains a list of types of telecommunication equipment	Published	06/14/2018	Initial Load VADS 3.0
Telecommunication Use Code (HL7)	PHVS_TelecommunicationUseCode_HL7_2x	2.16.840.1.114222.4.11.818	1	HL7 table 0201 contains a list that represents a specific use of a telecommunication number	Published	06/14/2018	Initial Load VADS 3.0
TQ Conjunction ID (HL7)	PHVS_TQConjunctionID_HL7_2x	2.16.840.1.114222.4.11.3353	1	HL7 version 2.x TQ Conjunction ID used in chapter(s) 4; HL7 table 0472	Published	08/14/2010	HL7 2.5
Type of Data	PHVS_MIME_MediaType_IANA	2.16.840.1.114222.4.11.1012	1	Encoding as defined by MIME (Multipurpose Internet Mail Extensions)	Published	10/22/2008	Initial Load VADS 3.0
Type of Referenced Data (HL7)	PHVS_TypeOfReferencedData_HL7_2x	2.16.840.1.114222.4.11.3345	1	HL7 version 2.x Type of referenced data used in chapter(s) 2; HL7 table 0191	Published	08/14/2010	HL7 v 2.5
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	2	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	update few curly bracket units to support ELR IG.
Universal ID Type (ELR)	PHVS_UniversalIdType_ELR	2.16.840.1.114222.4.11.6067	1		Published	10/09/2012	version 1
Value Type (ELR)	PHVS_ValueType_ELR	2.16.840.1.114222.4.11.6064	1	list of formats from HL7 table 0125 of the observation value in OBX-3 constrained for ELR	Published	09/06/2012	First version
Version ID (HL7)	PHVS_VersionID_HL7_2x	2.16.840.1.114222.4.11.3342	2	Version ID (HL7) based on HL7 2.x table 0104	Published	10/09/2012	version 2
Visit Indicator (HL7)	PHVS_VisitIndicator_HL7_2x	2.16.840.1.114222.4.11.3348	1	HL7 version 2.x Visit indicator used in chapter(s) 3; HL7 table 0326. User defined table	Published	08/14/2010	HL7 v2.5
Yes No Indicator (HL7)	PHVS_YesNo_HL7_2x	2.16.840.1.114222.4.11.819	1	Value set used to respond to any question that can be answered only Yes or No. This value set is also HL7 table 0136 Yes/No Indicator.	Published	10/01/2019	Initial Load VADS 3.0
