View Name	View Description	View Version	Status Date
HL7 Version 2.5.1 Implementation Guide: Birth & Fetal Death Reporting, R1 DSTU	Covers the provision of birth and fetal death reporting data to the applicable jurisdictional vital records reporting agency within the United States utilizing the HL7 V2.5.1 standard. This is a US realm specification.	3	02/16/2016 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Message Structure (HL7)	PHVS_MessageStructure_HL7_2x	2.16.840.1.114222.4.11.3349	1	HL7 version 2.x Message structure used in chapter(s) 2; HL7 table 0354	Published	08/14/2010	HL7 v2.5
Message Type (HL7)	PHVS_MessageType_HL7_2x	2.16.840.1.114222.4.11.3341	1	HL7 version 2.x Message type used in chapter(s) 2; HL7 table 076	Published	08/09/2010	Message Type - HL7 v2.5
Newborn Abnormal Conditions (NCHS)	PHVS_NewbornAbnormalConditions_NCHS	2.16.840.1.114222.4.11.7121	3	The value set contains the list of values used to indicate specific disorders or significant morbidity experienced by the newborn infant.	Published	08/18/2015	Initial Import for : 3F8F5CDB-7C87-E311-AE2A-0017A477041A
Newborn Congenital Anomalies (NCHS)	PHVS_NewbornCongenitalAnomalies_NCHS	2.16.840.1.114222.4.11.7122	1	The value set contain the list of values use to specify malformations of the newborn diagnosed prenatally or after delivery.	Published	06/28/2013	Initial Import for : ADE9B981-2DA8-E211-A4E6-0017A477041A
Newborn Vital Signs (NCHS)	PHVS_NewbornVitalSigns_NCHS	2.16.840.1.114222.4.11.7208	2	The value set contains the list of vital sign information captured for a newborn or delivered fetus.	Published	05/07/2015	Initial Import for : 31362F6A-DAB4-E311-8837-0017A477041A
Observation Result Status (HL7)	PHVS_ObservationResultStatus_HL7_2x	2.16.840.1.114222.4.11.811	1	The status of the observation. This field is required when the OBX segment is contained in a message.  Uses HL7 2.5 Table 0085-Observation Result Status.	Published	10/22/2008	Initial Load VADS 3.0
Obstetric Procedures (NCHS)	PHVS_ObstetricProcedures_NCHS	2.16.840.1.114222.4.11.7136	3	The value set contains the list of values used to specify selected medical treatments or invasive / manipulative procedures performed during this pregnancy specifically for management of labor and / or delivery.	Published	03/16/2015	v3
Onset Labor (NCHS)	PHVS_OnsetLabor_NCHS	2.16.840.1.114222.4.11.7123	3	The value set contains the list of values used to indicate serious complications experienced by the mother associated with labor and delivery.	Published	06/28/2013	Initial Import for : 4AAC027A-FD96-E211-89A9-0017A477041A
Pregnancy Risk Factors (NCHS)	PHVS_PregnancyRiskFactors_NCHS	2.16.840.1.114222.4.11.7126	2	The value set contains the list of values used to indicate selected medical risk factors of the mother during this pregnancy.	Published	03/16/2015	Initial Import for : D5FC6EBA-3596-E211-89A9-0017A477041A
Problem Goal Action Code (HL7)	PHVS_ProblemGoalActionCode_HL7_2x	2.16.840.1.114222.4.11.6000	1	Problem Goal Action Code (HL7) - HL7 Table 0287	Published	08/31/2011	HL7 V2.7
Processing ID (HL7)	PHVS_ProcessingID_HL7_2x	2.16.840.1.114222.4.11.1028	1	HL7 table 0103 contains values that define whether the message is part of a production, training or debugging system.	Published	10/22/2008	Initial Load VADS 3.0
Processing Mode (HL7)	PHVS_ProcessingMode_HL7_2x	2.16.840.1.114222.4.11.1029	1	HL7 table 0207 contains values that define whether the message is part of an archival process or an initial load.	Published	10/22/2008	Initial Load VADS 3.0
Source of Payment Typology (PHDSC)	PHVS_SourceOfPaymentTypology_PHDSC	2.16.840.1.114222.4.11.3591	2	The development of a standard source of payment classification system is a high priority for public health and can be used for a wide variety of public health activities such as monitoring healthcare access and documenting disparities.	Published	01/18/2018	version 6.0 - Sep 2015
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	4	Units of Measure based on UCUM std which also includes dimension	Published	03/16/2015	Initial Import for : 5483B3A0-607F-DD11-B38D-00188B398520
Universal ID Type (HL7)	PHVS_UniversalIdType_HL7_2x	2.16.840.1.114222.4.11.1055	1	HL7 table 0301 contains the universal identifier type	Published	10/22/2008	Initial Load VADS 3.0
Value Type (HL7)	PHVS_ValueType_HL7_2x	2.16.840.1.114222.4.11.1059	3	HL7 table 0125 contains the list of formats of the observation value in OBX-3.	Published	12/16/2015	Updated based on HL70125 in HL7 v2.8.2
No longer in HL7 table per HL7 v2.8.2: [ AD, CE, CN, CK, PN, TN, TS ]
Version ID (HL7)	PHVS_VersionID_HL7_2x	2.16.840.1.114222.4.11.3342	2	Version ID (HL7) based on HL7 2.x table 0104	Published	10/09/2012	version 2
Yes No Indicator (HL7)	PHVS_YesNo_HL7_2x	2.16.840.1.114222.4.11.819	1	Value set used to respond to any question that can be answered only Yes or No. This value set is also HL7 table 0136 Yes/No Indicator.	Published	10/01/2019	Initial Load VADS 3.0
