View Name	View Description	View Version	Status Date
FDD Case Notification	The vocabulary used for FDD Case Notification messages to CDC.	8	03/28/2024 00:00:00

Value Set Name	Value Set Code	Value Set OID	Value Set Version	Value Set Definition	Value Set Status	VS Last Updated Date	VS Release Comments
Test Type (FDD)	PHVS_TestType_FDD	2.16.840.1.114222.4.11.7625	2	Test type answer list for FDD MMG	Published	01/27/2020	Added new test type, "Identification".
Travel Purpose	PHVS_TravelPurpose_FDD	2.16.840.1.114222.4.11.3108	2	Purpose of travel answer list	Published	10/22/2008	Updated for 2017-2018 version of the FDD MMG
Typhoid Paratyphoid Serotype (FDD)	PHVS_TyphoidParatyphoidSerotype_FDD	2.16.840.1.114222.4.11.7647	1	Typhoid paratyphoid serotype answer list for FDD MMG	Published	11/16/2017	Typhoid paratyphoid serotype answer list for FDD MMG
Units of Measure	PHVS_UnitsOfMeasure_CDC	2.16.840.1.114222.4.11.838	5	Units of Measure based on UCUM std which also includes dimension	Published	04/17/2025	V5: Added Cycle threshold value
Vaccine Received (FDD)	PHVS_VaccineReceived_FDD	2.16.840.1.114222.4.11.7646	1	Vaccine received answer list for FDD MMG	Published	11/16/2017	Vaccine received answer list for FDD MMG
Vibrio Cholera Biotype (FDD)	PHVS_VibrioCholeraBiotype_FDD	2.16.840.1.114222.4.11.7645	1	Vibrio cholera biotype answer list for FDD MMG	Published	11/16/2017	Vibrio cholera biotype answer list for FDD MMG
Vibrio Cholera Serotype (FDD)	PHVS_VibrioCholeraSerotype_FDD	2.16.840.1.114222.4.11.7644	1	Vibrio cholera serotype answer list for FDD MMG	Published	11/16/2017	Vibrio cholera serotype answer list for FDD MMG
Vibrio Species (FDD)	PHVS_VibrioSpecies_FDD	2.16.840.1.114222.4.11.7643	5	Vibrio species answer list for FDD MMG	Published	11/08/2018	Added and removed values from the value set
Water Salinity (FDD)	PHVS_WaterSalinity_FDD	2.16.840.1.114222.4.11.3113	1	Water type based on saline content or salt (e.g.  Fresh water, sea water)	Published	10/22/2008	Initial Load VADS 3.0
Wound History	PHVS_WoundHistory_CDC	2.16.840.1.114222.4.11.3115	1	Wound History during exposure answer list	Published	10/22/2008	Initial Load VADS 3.0
Yes No Don't Know Maybe (FDD)	PHVS_YesNoDon'tKnowMaybe_FDD	2.16.840.1.114222.4.11.7629	1		Published	11/16/2017	
Yes No Indicator (HL7)	PHVS_YesNo_HL7_2x	2.16.840.1.114222.4.11.819	1	Value set used to respond to any question that can be answered only Yes or No. This value set is also HL7 table 0136 Yes/No Indicator.	Published	10/01/2019	Initial Load VADS 3.0
Yes No Not Tested (NND)	PHVS_YesNoNotTested_NND	2.16.840.1.114222.4.11.7648	1		Published	11/16/2017	
Yes No Unknown (YNU)	PHVS_YesNoUnknown_CDC	2.16.840.1.114222.4.11.888	1	Value set used to respond to any question that can be answered Yes, No, or Unknown.	Published	10/22/2008	Initial Load VADS 3.0
Yes No Unknown Maybe (FDD)	PHVS_YesNoUnkMaybe_FDD	2.16.840.1.114222.4.11.7628	1		Published	11/16/2017	
Yes No Unknown Not Done	PHVS_YesNoUnkNotDone_CDC	2.16.840.1.114222.4.11.3069	1	Yes No Unknown Not done	Published	10/22/2008	Initial Load VADS 3.0
Yes No Unknown Refused (NND)	PHVS_YesNoUnkRefused_NND	2.16.840.1.114222.4.11.7618	1		Published	11/16/2017	
